price,area,pricePerMeter,rooms,floor
430000,50.5,8514.85,2,2
519000,61.12,8491.0,3,0
449000,59.6,7533.56,3,1
542823,78.67,6900.0,4,3
258054,31.47,8200.0,2,0
359000,44.0,8159.09,2,1
449206,49.99,8985.92,3,2
420000,57.83,7262.67,3,1
406578,36.65,11093.53,2,0
302480,37.81,8000.0,2,1
749000,81.79,9157.6,3,2
480000,68.0,7058.82,3,0
385000,53.5,7196.26,3,0
387100,49.0,7900.0,2,1
469000,59.6,7869.13,2,1
649000,60.0,10816.67,3,4
340000,52.0,6538.46,2,4
499000,89.0,5606.74,3,1
483516,48.84,9900.0,1,1
598713,86.77,6900.0,4,3
1101177,111.23,9900.0,4,6
490420,79.1,6200.0,4,1
289000,43.7,6613.27,2,4
519000,65.98,7866.02,2,0
316052,26.12,12100.0,1,0
389000,51.9,7495.18,2,2
799000,116.0,6887.93,5,2
425880,59.15,7200.0,3,1
504036,64.62,7800.0,3,0
431384,58.16,7417.19,2,0
349000,49.0,7122.45,2,3
279900,37.0,7564.86,1,4
399000,46.5,8580.65,3,4
316000,26.1,12107.28,1,0
435000,60.0,7250.0,3,1
430000,53.8,7992.57,3,0
288113,36.47,7900.0,2,3
650000,124.76,5210.0,4,1
651039,67.0,9717.0,3,1
988000,76.0,13000.0,3,2
340569,43.11,7900.0,2,1
523200,48.0,10900.0,2,0
518000,62.0,8354.84,3,3
612623,73.81,8300.0,4,2
524856,69.06,7600.0,3,0
500076,86.22,5800.0,4,0
425760,53.22,8000.0,3,2
471436,41.47,11368.12,2,0
461235,56.09,8223.12,4,3
366130,44.65,8200.0,2,0
524856,69.06,7600.0,3,0
559000,67.95,8226.64,3,1
710000,74.59,9518.7,3,0
831112,98.02,8479.0,4,1
279000,33.26,8388.45,1,2
649000,120.0,5408.33,4,3
490050,65.34,7500.0,3,2
483621,70.09,6900.0,3,1
668861,72.13,9273.0,3,1
499656,45.84,10900.0,2,1
399000,50.6,7885.38,3,3
592705,69.73,8500.0,3,1
399000,62.0,6435.48,3,0
725000,65.0,11153.85,3,0
500000,217.22,2301.81,6,0
498000,60.0,8300.0,3,2
749000,114.41,6547.0,3,0
600865,70.69,8500.0,3,1
359000,44.0,8159.09,3,4
419550,55.94,7500.0,3,0
514020,65.9,7800.0,3,1
289999,46.46,6241.91,2,4
399150,53.22,7500.0,3,2
709335,71.65,9900.0,3,2
524856,69.06,7600.0,3,0
1000000,146.0,6849.32,4,0
809000,83.9,9642.43,3,0
484400,64.76,7479.93,3,1
290000,45.0,6444.44,2,7
850000,108.33,7846.4,5,0
592640,74.08,8000.0,4,1
399150,53.22,7500.0,3,2
379000,63.0,6015.87,3,0
367982,46.58,7900.0,2,0
699000,88.44,7903.66,5,1
299000,31.67,9441.11,2,2
285000,47.0,6063.83,3,3
398925,49.25,8100.0,3,2
490050,65.34,7500.0,3,2
295000,35.9,8217.27,2,0
310000,44.0,7045.45,3,8
375000,56.0,6696.43,4,4
440000,56.0,7857.14,3,4
484400,64.76,7479.93,3,1
310000,60.1,5158.07,2,1
881199,89.01,9900.0,4,1
417075,50.25,8300.0,2,2
443522,49.83,8900.7,3,0
1200000,80.9,14833.13,3,5
400700,35.74,11211.53,2,3
320000,29.72,10767.16,1,2
903348,98.19,9200.0,5,3
1020000,123.0,8292.68,4,1
799000,196.0,4076.53,4,1
399000,61.13,6527.07,3,4
799000,124.0,6443.55,3,3
603225,80.43,7500.0,4,3
460000,68.87,6679.25,3,0
628603,86.11,7300.0,4,1
659175,77.55,8500.0,3,0
574398,58.02,9900.0,2,2
502200,65.22,7700.09,3,1
365000,52.0,7019.23,3,3
379000,60.0,6316.67,3,1
750000,124.0,6048.39,5,1
650000,88.0,7386.36,4,0
366130,44.65,8200.0,2,0
399150,53.22,7500.0,3,2
629000,73.0,8616.44,3,0
449000,58.24,7709.48,3,0
316052,26.12,12100.0,1,0
